District,Year,Season,Crop,Land Area (ha),Rainfall (mm),Temperature (°C),Humidity (%),Irrigation (%),Fertilizer Usage (kg/ha),Yield (t/ha)
Srikakulam,2021,Kharif,Sugarcane,3933.97,1091.49,32.18,76.22,30.8,118.63,1.27
Guntur,2021,Kharif,Pulses,4101.15,1448.61,27.14,79.25,68.76,95.37,2.24
Vizianagaram,2021,Kharif,Cotton,2001.66,723.1,30.02,54.44,31.8,180.47,0.9
Kadapa,2024,Rabi,Cotton,6683.94,549.45,37.51,57.15,98.27,131.28,2.0
Chittoor,2022,Kharif,Chili,3498.64,906.48,30.59,58.96,92.44,106.45,2.79
Kurnool,2022,Rabi,Pulses,6972.6,1172.77,29.48,63.7,58.75,114.14,1.19
East Godavari,2021,Kharif,Groundnut,6756.43,1619.04,28.7,67.22,31.59,91.39,1.98
Chittoor,2020,Rabi,Groundnut,7139.46,672.32,31.36,76.65,78.53,118.02,2.22
Prakasam,2022,Kharif,Cotton,6852.57,601.65,28.03,54.2,76.05,86.76,1.85
Visakhapatnam,2024,Rabi,Rice,7805.51,1023.04,31.6,69.23,73.91,155.83,2.42
Nellore,2020,Kharif,Cotton,8138.94,967.38,31.45,81.43,53.77,190.98,1.61
Nellore,2023,Kharif,Sugarcane,618.88,1188.07,29.45,64.56,66.69,80.18,2.02
West Godavari,2024,Rabi,Maize,3342.67,1722.18,29.8,80.02,78.43,99.19,3.15
Krishna,2020,Kharif,Chili,7781.69,1361.21,30.79,74.93,81.34,91.04,3.69
Srikakulam,2024,Kharif,Cotton,3413.04,904.87,25.45,65.16,97.69,117.09,4.78
Srikakulam,2020,Kharif,Tobacco,6752.92,1131.25,32.5,80.18,64.63,188.0,2.48
Guntur,2023,Kharif,Groundnut,2968.85,1000.97,30.32,65.61,36.71,185.59,1.55
West Godavari,2020,Rabi,Rice,2544.1,1094.46,30.79,78.69,74.18,110.81,2.74
Srikakulam,2022,Rabi,Maize,2276.87,1509.53,30.48,73.41,40.16,166.98,2.08
Kadapa,2020,Kharif,Cotton,2606.37,772.62,31.18,61.1,67.68,183.72,0.96
Anantapur,2020,Rabi,Tobacco,7439.64,582.55,36.29,55.21,37.44,161.91,0.34
Kadapa,2023,Rabi,Rice,8653.55,628.55,32.21,55.13,58.87,104.07,1.06
Kadapa,2024,Kharif,Sugarcane,3378.27,726.79,32.27,80.28,66.58,166.68,1.44
Guntur,2020,Rabi,Pulses,4005.82,900.09,30.26,78.66,56.06,199.4,2.21
Kadapa,2020,Rabi,Chili,1960.87,741.11,29.84,72.82,68.97,127.29,1.27
Chittoor,2023,Rabi,Pulses,2911.63,748.53,30.02,52.71,81.49,82.05,1.15
Kurnool,2024,Kharif,Sugarcane,2082.3,729.82,28.15,53.41,34.88,99.44,0.6
Anantapur,2023,Kharif,Pulses,8882.44,555.91,35.45,70.6,98.67,194.97,0.94
Kadapa,2023,Kharif,Pulses,3271.04,992.03,29.33,64.25,34.53,185.81,0.95
Prakasam,2022,Rabi,Tobacco,6894.19,424.57,28.71,73.81,82.39,130.85,2.14
Chittoor,2023,Rabi,Pulses,7008.56,893.78,34.26,61.36,72.95,173.89,1.29
Krishna,2022,Kharif,Maize,9751.43,1531.38,28.48,72.7,77.85,133.5,4.89
Vizianagaram,2020,Rabi,Tobacco,3106.54,1297.18,28.68,74.71,49.7,149.01,1.55
Kadapa,2022,Kharif,Rice,1281.48,994.9,32.17,68.68,51.26,169.37,0.97
Vizianagaram,2024,Kharif,Cotton,5638.24,842.12,30.1,57.16,47.85,197.81,1.85
Vizianagaram,2024,Rabi,Chili,6530.19,819.52,34.66,88.79,61.57,176.61,2.58
Kadapa,2024,Rabi,Maize,2714.66,490.07,30.34,56.02,77.69,104.66,1.61
Chittoor,2024,Kharif,Sugarcane,8813.77,803.62,32.92,83.43,68.42,125.82,2.36
West Godavari,2022,Kharif,Maize,1466.3,1396.57,32.91,88.99,47.44,126.11,1.82
West Godavari,2023,Rabi,Groundnut,5593.31,1208.12,28.23,82.03,84.71,97.62,3.0
East Godavari,2023,Kharif,Cotton,7422.82,1965.93,29.29,55.02,76.49,165.14,3.78
Krishna,2024,Kharif,Pulses,5236.86,1413.2,33.46,84.27,80.83,111.17,4.03
Kadapa,2022,Kharif,Pulses,1747.23,445.24,27.98,81.07,97.02,185.88,1.36
Vizianagaram,2023,Rabi,Cotton,9094.72,1425.78,24.07,84.51,90.27,107.76,3.49
Kurnool,2023,Kharif,Sugarcane,9400.54,508.21,28.43,89.77,57.92,168.53,1.85
Chittoor,2020,Kharif,Sugarcane,9913.84,903.27,35.76,87.48,75.12,92.4,1.18
Kadapa,2020,Kharif,Cotton,6106.67,465.94,27.97,72.2,67.44,194.77,0.75
Anantapur,2021,Rabi,Cotton,1670.48,644.69,31.4,75.18,95.64,170.9,1.56
Srikakulam,2021,Rabi,Pulses,8052.78,1461.89,30.27,52.02,83.9,187.73,4.17
East Godavari,2023,Rabi,Chili,4477.93,1686.29,25.83,61.75,55.69,132.5,3.82
East Godavari,2023,Rabi,Sugarcane,2729.45,1503.54,26.09,71.9,98.07,103.9,4.69
Kurnool,2020,Rabi,Chili,2329.67,925.56,27.82,60.66,90.68,109.99,2.69
West Godavari,2020,Rabi,Pulses,2450.94,1416.38,26.01,59.8,43.65,117.49,2.46
Srikakulam,2024,Rabi,Sugarcane,9703.05,871.14,27.98,56.61,38.8,177.8,1.69
Krishna,2021,Rabi,Rice,9172.71,1487.69,29.16,66.77,40.91,172.65,2.65
Guntur,2020,Kharif,Tobacco,6960.13,1338.18,34.27,50.61,77.01,109.8,2.75
Nellore,2020,Rabi,Rice,2720.97,677.4,28.87,71.65,48.97,190.55,2.01
West Godavari,2020,Rabi,Pulses,6593.51,1431.51,32.8,73.11,50.6,194.78,2.75
Kurnool,2023,Rabi,Cotton,7941.81,534.83,33.21,51.23,95.49,197.71,2.51
Anantapur,2020,Rabi,Tobacco,9263.56,461.55,36.97,89.31,32.72,146.62,0.35
Chittoor,2021,Rabi,Rice,5404.16,786.75,32.85,88.09,35.6,191.78,0.82
Kadapa,2021,Rabi,Tobacco,1583.46,741.75,36.22,73.59,46.22,199.51,0.95
Krishna,2024,Rabi,Chili,1324.03,1058.87,32.15,77.11,31.81,155.27,2.02
East Godavari,2023,Kharif,Chili,6261.01,1561.15,27.93,84.58,89.66,132.09,3.27
Prakasam,2020,Kharif,Rice,1222.37,805.0,26.31,78.76,51.87,93.9,0.83
Visakhapatnam,2024,Rabi,Rice,6192.11,939.32,27.98,79.7,40.64,155.23,1.16
Prakasam,2022,Kharif,Maize,9690.55,577.96,36.3,86.49,78.47,96.45,1.52
Prakasam,2023,Rabi,Maize,7530.79,1006.08,32.0,73.01,88.71,196.72,1.36
West Godavari,2024,Rabi,Cotton,2713.37,1619.84,28.8,55.53,42.4,113.51,2.2
Visakhapatnam,2023,Rabi,Cotton,6440.46,1009.41,26.27,68.46,38.0,158.94,0.91
Vizianagaram,2024,Kharif,Chili,9327.08,1493.55,34.53,74.46,61.41,131.0,2.2
Srikakulam,2022,Kharif,Maize,4726.06,1361.44,32.46,55.5,49.8,132.1,2.08
Nellore,2022,Kharif,Rice,2897.36,1023.29,32.02,85.24,41.51,166.21,1.35
Nellore,2021,Kharif,Sugarcane,2042.88,916.23,32.16,67.78,99.14,189.91,3.92
Anantapur,2020,Rabi,Tobacco,1154.93,431.85,36.58,74.56,36.64,108.94,0.71
East Godavari,2021,Rabi,Sugarcane,6581.01,1313.2,29.84,55.88,55.98,171.49,3.53
West Godavari,2020,Kharif,Maize,5699.33,1788.42,33.47,78.92,97.16,134.94,5.02
Anantapur,2021,Rabi,Tobacco,2717.48,572.92,28.44,74.18,41.9,155.84,0.46
Krishna,2022,Rabi,Pulses,3761.36,911.83,32.5,77.92,96.1,140.88,4.48
Chittoor,2023,Rabi,Rice,5209.65,982.93,30.08,51.62,88.31,145.16,2.58
Krishna,2024,Kharif,Cotton,5138.54,1029.33,29.38,63.66,46.77,158.38,2.74
Anantapur,2020,Kharif,Chili,2067.33,486.4,39.87,53.31,72.91,129.25,1.36
West Godavari,2022,Kharif,Rice,6171.16,1097.14,26.44,66.2,77.21,196.43,3.93
Krishna,2024,Kharif,Groundnut,2414.76,1390.07,25.41,60.42,48.3,182.79,3.3
Guntur,2023,Rabi,Groundnut,9340.08,1248.74,29.04,50.73,47.87,99.46,1.78
Kadapa,2020,Rabi,Groundnut,4099.88,527.69,34.15,50.95,67.63,171.99,1.37
Srikakulam,2020,Kharif,Cotton,2828.24,1069.95,33.9,67.27,53.03,127.6,2.25
Anantapur,2020,Rabi,Sugarcane,7542.92,771.22,29.2,86.86,65.44,190.69,0.56
West Godavari,2021,Kharif,Sugarcane,3589.86,1532.43,29.98,51.11,58.94,86.24,3.11
Kadapa,2023,Kharif,Groundnut,5449.86,528.04,33.34,53.13,41.98,141.16,0.58
Nellore,2023,Kharif,Pulses,5129.84,618.28,29.29,60.7,53.97,186.8,2.12
Anantapur,2021,Rabi,Tobacco,5310.16,680.38,36.55,68.85,59.9,132.98,1.04
Kadapa,2021,Rabi,Pulses,9528.17,553.82,29.99,83.59,71.78,115.14,1.87
Srikakulam,2021,Kharif,Tobacco,6580.88,1167.04,24.23,50.32,71.62,170.62,3.46
Vizianagaram,2020,Rabi,Cotton,3690.07,1344.45,30.45,83.28,83.89,117.8,2.14
Nellore,2022,Rabi,Maize,8914.09,829.06,27.27,54.74,80.73,188.86,3.48
Kurnool,2022,Rabi,Sugarcane,8325.78,722.86,28.44,86.69,81.91,145.03,2.65
Srikakulam,2020,Kharif,Maize,8722.24,1472.33,28.23,88.88,94.71,81.34,3.56
Kurnool,2024,Kharif,Chili,3373.0,973.31,37.43,84.2,67.93,136.18,1.46
Krishna,2022,Kharif,Cotton,1672.64,997.42,30.26,62.98,53.58,107.96,2.8
Guntur,2021,Rabi,Tobacco,7461.65,1325.83,33.78,53.4,75.07,117.35,2.4
Chittoor,2021,Rabi,Sugarcane,6587.29,601.29,30.44,65.97,39.26,120.4,0.98
Kurnool,2022,Kharif,Maize,6864.19,915.03,27.89,53.54,73.2,148.2,1.2
Krishna,2020,Kharif,Chili,5087.96,1108.58,25.48,74.89,67.49,181.84,4.35
Anantapur,2021,Kharif,Rice,8079.61,337.6,30.05,77.0,36.72,171.61,0.29
Chittoor,2021,Kharif,Cotton,9962.75,870.82,33.01,89.39,52.13,152.26,0.89
Vizianagaram,2021,Kharif,Sugarcane,8241.82,861.28,32.37,63.57,47.56,101.99,1.89
Nellore,2021,Rabi,Rice,5083.4,687.12,33.26,86.95,34.43,95.38,0.84
East Godavari,2020,Kharif,Tobacco,5116.3,1756.9,24.6,78.64,56.16,161.32,3.02
Visakhapatnam,2020,Rabi,Maize,8204.8,1329.83,32.02,66.3,74.27,123.16,2.44
Srikakulam,2022,Rabi,Cotton,4310.54,1020.56,25.63,65.49,34.73,150.31,1.36
West Godavari,2023,Kharif,Maize,8291.27,1477.35,31.81,55.89,48.49,116.39,2.48
East Godavari,2022,Rabi,Tobacco,6390.17,1355.35,25.49,66.67,56.1,80.86,2.67
Kadapa,2020,Rabi,Cotton,9038.35,876.08,32.28,72.34,63.98,197.0,0.89
Srikakulam,2023,Kharif,Chili,2881.0,1015.91,25.57,86.63,77.29,99.01,3.29
Kurnool,2022,Rabi,Maize,3502.86,737.4,34.28,61.71,63.45,169.52,1.96
Krishna,2021,Kharif,Cotton,4747.54,902.46,33.68,56.49,57.67,125.25,2.31
Visakhapatnam,2023,Rabi,Rice,9471.28,1144.16,28.82,87.85,66.51,95.87,2.89
Nellore,2021,Kharif,Rice,9784.47,1089.38,33.16,71.05,46.72,92.58,2.13
Vizianagaram,2024,Kharif,Rice,2827.66,1250.29,34.22,69.56,41.53,179.92,1.86
Kadapa,2021,Kharif,Sugarcane,3412.35,892.37,29.61,62.9,59.9,110.34,1.64
Vizianagaram,2021,Kharif,Sugarcane,7407.44,1408.73,34.06,79.59,91.76,86.38,2.88
Srikakulam,2023,Rabi,Pulses,8794.39,1254.87,27.53,81.76,92.7,168.13,3.93
East Godavari,2022,Kharif,Sugarcane,1317.2,1251.42,28.39,51.15,69.56,94.5,3.91
Prakasam,2023,Kharif,Chili,1357.56,658.9,26.11,53.73,35.98,115.19,0.91
Krishna,2021,Kharif,Sugarcane,6216.54,1276.3,25.67,74.01,78.52,166.28,5.33
Anantapur,2022,Kharif,Tobacco,3306.55,736.95,35.07,77.76,75.43,165.77,1.36
Srikakulam,2023,Kharif,Groundnut,8506.13,941.31,28.14,80.15,82.68,92.03,4.51
Vizianagaram,2021,Kharif,Sugarcane,3348.46,880.27,31.28,62.39,71.03,120.87,1.71
Anantapur,2021,Kharif,Pulses,2703.39,655.0,29.98,78.04,53.93,115.77,1.06
Nellore,2020,Kharif,Maize,5764.16,1024.45,33.7,74.36,68.15,142.94,2.31
Srikakulam,2023,Kharif,Cotton,6744.72,1108.43,27.04,88.91,51.5,177.77,2.29
Chittoor,2024,Kharif,Pulses,1930.02,722.3,33.39,79.18,82.27,120.91,1.01
Visakhapatnam,2023,Rabi,Groundnut,1711.44,768.47,28.22,51.14,42.84,140.55,1.41
Guntur,2021,Rabi,Chili,8875.19,1181.84,26.25,72.48,34.43,111.53,1.05
Kurnool,2024,Kharif,Maize,5437.66,876.04,30.24,86.86,64.78,91.34,1.92
Chittoor,2020,Rabi,Cotton,8927.28,473.12,34.2,79.18,60.42,155.19,0.74
Anantapur,2020,Kharif,Maize,9264.54,444.09,33.37,57.54,49.32,129.08,1.0
Prakasam,2021,Kharif,Cotton,3564.31,558.78,27.02,57.49,85.58,169.3,1.61
Nellore,2024,Kharif,Maize,6079.27,758.54,31.29,61.56,62.52,84.79,1.87
East Godavari,2024,Kharif,Groundnut,6055.56,1480.99,26.09,74.23,52.65,165.81,2.9
Prakasam,2020,Kharif,Chili,2390.08,847.83,36.02,59.88,58.28,87.28,0.79
Nellore,2022,Rabi,Sugarcane,944.92,715.27,28.46,50.66,89.11,186.77,2.89
Prakasam,2023,Kharif,Groundnut,5560.3,869.68,35.15,54.1,66.14,87.62,1.48
East Godavari,2023,Rabi,Pulses,8195.72,1851.57,27.61,57.9,70.57,191.48,4.07
Guntur,2023,Rabi,Maize,6539.23,1244.1,27.89,74.6,88.72,149.25,3.52
West Godavari,2022,Rabi,Pulses,4910.96,1127.71,29.82,51.49,62.44,177.25,2.61
Kurnool,2023,Rabi,Tobacco,9008.32,1070.97,29.09,86.05,95.98,190.86,3.17
Prakasam,2021,Rabi,Chili,6945.55,934.16,29.98,81.29,62.5,175.15,1.7
Kadapa,2023,Rabi,Cotton,8823.41,541.86,36.41,61.11,59.98,134.97,0.68
Nellore,2024,Rabi,Cotton,4732.58,1047.57,27.0,54.69,74.39,93.88,3.12
Krishna,2020,Kharif,Maize,9462.76,1523.78,28.91,59.98,96.7,167.25,5.99
Kadapa,2024,Kharif,Tobacco,7279.29,562.38,30.24,84.98,72.11,110.6,1.08
Kurnool,2024,Rabi,Tobacco,2378.97,878.17,36.17,60.38,39.98,103.44,0.76
Guntur,2022,Kharif,Rice,9816.82,1081.83,26.82,76.91,41.2,126.45,1.07
Nellore,2020,Kharif,Tobacco,3262.99,880.7,30.35,71.29,52.29,166.75,2.32
Kurnool,2022,Rabi,Groundnut,8302.8,1173.47,27.4,86.63,44.29,97.21,1.46
Vizianagaram,2022,Rabi,Groundnut,3430.88,746.21,27.94,78.75,56.29,112.5,1.84
Kurnool,2022,Rabi,Chili,6484.29,586.44,35.76,62.61,57.35,159.46,1.33
Kadapa,2020,Kharif,Rice,5096.92,864.28,37.64,65.67,88.42,98.76,1.96
Guntur,2021,Kharif,Tobacco,3448.79,1092.73,31.24,66.95,49.76,195.51,2.11
Visakhapatnam,2021,Kharif,Chili,2060.9,933.53,27.8,78.44,81.94,129.65,2.39
Srikakulam,2023,Rabi,Tobacco,5508.3,933.83,25.89,56.7,86.33,132.7,3.0
Visakhapatnam,2024,Kharif,Tobacco,3013.64,958.86,25.04,88.6,37.96,198.28,0.94
Krishna,2023,Rabi,Chili,2488.95,1435.79,26.68,56.57,59.59,157.56,3.33
Krishna,2024,Kharif,Chili,3232.93,1433.38,25.31,54.55,32.08,116.52,1.74
Guntur,2022,Kharif,Groundnut,7285.82,1395.68,27.94,78.91,39.82,143.55,1.14
West Godavari,2020,Rabi,Pulses,6296.14,1754.36,25.41,71.78,35.19,196.82,1.85
Kadapa,2022,Kharif,Cotton,8186.92,894.21,30.63,74.21,34.59,186.33,0.46
Guntur,2023,Kharif,Rice,631.57,994.84,31.57,65.61,77.48,143.4,3.07
Vizianagaram,2023,Rabi,Groundnut,1539.69,1236.86,25.27,71.27,34.51,177.02,1.15
Vizianagaram,2021,Kharif,Maize,7360.61,742.82,26.81,83.82,84.27,90.62,2.72
West Godavari,2024,Rabi,Groundnut,1144.49,1076.04,33.15,63.16,34.19,173.47,1.4
East Godavari,2023,Rabi,Chili,1986.53,1571.6,30.57,67.3,97.02,112.19,4.56
Visakhapatnam,2023,Rabi,Cotton,6679.04,1480.07,24.48,75.2,62.05,115.01,2.45
Guntur,2020,Rabi,Rice,4512.83,1256.97,31.68,87.85,81.92,189.99,2.06
Vizianagaram,2020,Rabi,Cotton,614.58,1181.03,29.2,55.26,37.25,138.69,1.15
Krishna,2024,Rabi,Groundnut,9215.03,1448.0,28.43,65.78,47.19,123.91,1.91
Chittoor,2020,Rabi,Groundnut,4413.23,547.43,31.23,70.56,75.48,87.14,2.24
Srikakulam,2022,Kharif,Rice,1853.2,1536.63,29.81,61.25,50.81,188.47,2.21
Nellore,2021,Kharif,Maize,7605.38,1018.0,32.13,85.06,38.62,114.54,1.48
Srikakulam,2023,Rabi,Rice,3390.59,1098.94,33.48,89.86,39.04,89.21,1.91
Vizianagaram,2024,Kharif,Sugarcane,9354.28,1083.08,33.32,66.16,57.13,192.44,1.6
Guntur,2022,Rabi,Chili,1112.01,1048.87,31.78,75.4,89.45,126.57,2.7
Kurnool,2024,Rabi,Rice,4509.13,847.92,33.72,55.58,93.25,111.89,2.56
Chittoor,2023,Kharif,Pulses,9542.57,460.78,37.76,65.22,93.67,127.55,2.63
Visakhapatnam,2020,Rabi,Groundnut,4887.52,1254.72,34.56,86.14,51.03,159.4,2.15
Guntur,2024,Rabi,Rice,1672.78,1464.54,33.59,61.83,98.2,113.3,3.15
Prakasam,2023,Kharif,Sugarcane,9541.79,804.13,32.81,87.44,59.29,130.14,0.77
Chittoor,2022,Kharif,Cotton,797.21,842.72,36.1,63.97,79.39,195.35,2.78
Chittoor,2022,Rabi,Sugarcane,9368.24,471.07,32.45,61.07,62.1,142.16,1.75
Prakasam,2023,Rabi,Maize,1367.22,1048.31,26.24,87.18,71.5,175.12,2.08
Kadapa,2021,Kharif,Rice,879.45,640.45,32.09,81.39,98.32,153.23,1.85
Visakhapatnam,2020,Rabi,Tobacco,9261.24,1279.37,32.68,88.17,41.64,199.49,1.24
Anantapur,2024,Kharif,Tobacco,2358.47,512.34,36.95,51.17,37.67,120.44,0.32
Krishna,2020,Rabi,Chili,2159.35,1104.32,28.83,53.85,62.85,186.62,4.26
Kadapa,2021,Kharif,Pulses,7971.31,703.64,36.07,84.57,51.68,178.39,1.15
Prakasam,2020,Rabi,Maize,4974.15,1062.78,35.29,50.48,58.13,126.16,0.85
Chittoor,2020,Kharif,Chili,9098.84,928.42,36.84,68.19,45.74,117.19,0.54
Anantapur,2023,Kharif,Tobacco,9246.58,797.62,37.0,50.0,87.58,148.67,0.87
Anantapur,2021,Rabi,Groundnut,9207.45,508.49,28.05,53.12,39.6,196.03,0.43
Nellore,2022,Kharif,Chili,5467.32,1060.94,27.61,63.24,44.3,87.23,1.47
Srikakulam,2023,Rabi,Sugarcane,2119.67,1605.56,29.06,89.21,46.42,196.88,2.65
Chittoor,2022,Kharif,Maize,1900.58,828.47,35.19,62.32,83.64,194.88,1.05
Prakasam,2021,Kharif,Rice,6714.54,938.77,26.06,70.8,98.72,121.14,1.28
Guntur,2020,Rabi,Sugarcane,8515.55,1341.14,30.89,69.78,85.51,88.34,2.52
Kadapa,2022,Rabi,Sugarcane,4353.76,972.46,31.03,51.28,61.35,154.95,0.85
Nellore,2023,Kharif,Maize,9699.53,809.33,27.59,71.11,45.61,155.97,1.96
Krishna,2020,Kharif,Sugarcane,1045.92,1164.49,29.38,70.22,31.8,151.41,1.24
West Godavari,2024,Kharif,Pulses,5682.96,1060.71,26.05,66.06,78.26,169.56,2.76
Vizianagaram,2022,Rabi,Cotton,1876.0,1048.78,24.87,89.25,57.6,129.7,2.42
Vizianagaram,2023,Kharif,Rice,1822.52,1099.89,28.36,75.92,93.15,116.89,3.63
Kurnool,2023,Kharif,Sugarcane,7770.12,789.91,28.99,56.06,47.72,133.32,1.26
Kadapa,2023,Kharif,Maize,3650.63,958.34,36.93,85.58,52.97,144.14,1.09
Kadapa,2024,Kharif,Sugarcane,5490.02,769.93,29.27,59.35,55.47,122.73,1.19
Visakhapatnam,2024,Kharif,Maize,5916.17,1400.48,30.67,85.7,67.72,98.04,2.55
Nellore,2020,Kharif,Sugarcane,9970.64,1259.0,33.91,84.66,60.04,114.4,2.13
Guntur,2020,Kharif,Tobacco,8615.63,1092.32,29.86,88.34,76.68,101.27,3.21
Kurnool,2020,Rabi,Groundnut,4734.04,699.15,27.09,76.71,42.47,155.39,1.22
Nellore,2022,Kharif,Sugarcane,4866.35,971.96,30.31,62.06,97.26,196.97,3.03
Prakasam,2022,Kharif,Sugarcane,1125.3,1046.79,35.11,73.92,71.93,100.43,1.26
Vizianagaram,2023,Kharif,Groundnut,5975.13,842.8,33.44,80.76,76.33,149.35,3.28
Prakasam,2022,Rabi,Rice,1619.7,578.78,28.01,68.43,66.12,191.02,1.66
East Godavari,2021,Kharif,Maize,1171.54,1539.55,28.52,74.19,80.48,194.41,2.87
Anantapur,2021,Rabi,Pulses,6267.61,626.39,37.07,71.2,48.22,173.39,0.57
Guntur,2023,Rabi,Cotton,5197.79,1146.32,27.0,64.54,50.04,175.7,2.31
East Godavari,2023,Kharif,Sugarcane,9863.46,1323.0,27.2,71.44,59.47,103.83,2.7
West Godavari,2022,Kharif,Tobacco,2298.99,1603.48,25.78,59.82,82.67,81.63,4.54
West Godavari,2021,Rabi,Pulses,6447.52,1217.65,33.55,60.33,54.93,144.73,2.98
Kadapa,2023,Rabi,Pulses,4653.18,579.97,34.46,81.6,57.44,129.86,1.0
Nellore,2024,Rabi,Groundnut,2957.48,979.61,35.19,79.85,95.65,112.24,4.03
Nellore,2021,Kharif,Tobacco,3887.47,1255.17,30.59,74.02,53.67,94.17,1.48
Krishna,2020,Rabi,Pulses,8108.65,1242.97,29.0,75.99,88.69,188.33,6.13
Vizianagaram,2022,Kharif,Maize,5016.81,999.71,25.08,83.37,31.76,109.48,0.97
Anantapur,2021,Kharif,Rice,3016.16,543.06,33.51,75.78,64.56,143.02,1.34
Vizianagaram,2021,Kharif,Sugarcane,4210.25,1415.45,32.51,69.11,37.37,82.62,1.37
Kadapa,2020,Rabi,Rice,3246.2,419.55,30.2,58.26,84.25,150.3,1.93
Kurnool,2024,Rabi,Tobacco,5288.56,1139.51,30.39,56.64,46.96,84.3,1.45
Kurnool,2024,Rabi,Sugarcane,1097.89,957.29,28.86,72.48,34.43,168.59,1.13
Kadapa,2024,Rabi,Maize,2722.13,839.21,31.5,60.45,44.69,129.38,0.67
Prakasam,2023,Rabi,Chili,6805.8,571.24,29.54,67.52,60.24,114.91,1.28
Srikakulam,2023,Kharif,Groundnut,4817.48,904.03,27.3,71.54,44.26,93.08,2.16
Guntur,2020,Rabi,Groundnut,5901.28,1457.48,26.75,58.45,34.36,157.83,1.61
Guntur,2023,Kharif,Rice,7574.48,1312.11,32.01,80.12,36.03,150.43,0.96
Vizianagaram,2021,Kharif,Tobacco,2317.49,846.05,34.12,79.52,62.43,146.74,1.87
East Godavari,2020,Rabi,Pulses,3405.69,1431.01,31.08,58.34,89.74,126.95,3.94
Vizianagaram,2022,Rabi,Tobacco,9821.41,833.37,33.64,81.1,73.82,179.03,3.08
Krishna,2024,Kharif,Cotton,549.33,1221.19,33.67,68.83,54.48,87.25,2.75
Visakhapatnam,2024,Rabi,Rice,5752.68,810.06,24.06,61.48,60.31,168.41,1.97
Guntur,2020,Kharif,Chili,2588.32,1219.38,31.32,54.49,41.55,93.05,1.9
West Godavari,2023,Kharif,Chili,6600.43,1230.48,25.8,79.9,84.38,96.58,3.24
Guntur,2023,Rabi,Maize,2325.82,913.73,33.47,56.2,98.2,166.69,3.55
West Godavari,2024,Rabi,Chili,8033.79,1679.26,26.3,66.03,77.73,90.19,3.38
Krishna,2021,Rabi,Tobacco,8623.24,1228.98,33.69,54.53,77.41,111.12,4.68
West Godavari,2020,Kharif,Sugarcane,9876.95,1070.71,24.3,73.53,30.33,176.31,1.39
West Godavari,2020,Rabi,Chili,5149.5,1502.32,30.22,78.64,79.15,181.1,3.13
Krishna,2022,Rabi,Maize,9941.1,1436.63,33.76,60.02,32.31,117.56,2.22
Visakhapatnam,2020,Rabi,Chili,6623.11,1062.42,29.92,66.86,34.8,136.9,1.1
Chittoor,2020,Rabi,Rice,2493.53,513.22,26.87,70.3,57.97,174.2,1.88
West Godavari,2022,Rabi,Rice,7454.09,1586.85,29.72,72.49,57.44,138.53,2.65
Guntur,2024,Kharif,Maize,9091.09,1444.02,34.19,70.78,42.09,165.96,1.45
Nellore,2023,Kharif,Rice,8841.57,685.86,28.46,63.63,59.13,186.03,1.9
Guntur,2020,Kharif,Sugarcane,939.84,1044.59,31.11,77.65,55.31,104.06,1.5
Kadapa,2023,Kharif,Sugarcane,8617.51,895.94,29.34,54.85,84.55,159.86,1.84
Prakasam,2023,Kharif,Maize,9739.73,798.22,35.88,81.1,83.15,152.75,2.38
Anantapur,2023,Kharif,Rice,4732.92,464.36,39.44,72.69,88.48,114.61,1.51
Chittoor,2021,Kharif,Cotton,540.86,485.54,31.67,59.03,57.67,81.18,1.63
Prakasam,2024,Rabi,Chili,5469.14,1033.33,35.52,89.4,60.54,123.43,1.26
Vizianagaram,2020,Rabi,Sugarcane,8678.64,1341.91,25.06,60.91,54.48,151.43,2.22
East Godavari,2024,Kharif,Groundnut,4427.36,1472.15,29.25,52.64,72.56,92.48,3.16
Guntur,2022,Rabi,Pulses,2905.53,904.6,30.83,72.84,73.74,157.51,3.25
Krishna,2023,Rabi,Chili,1046.0,942.58,31.38,71.91,43.27,190.98,2.89
Vizianagaram,2023,Kharif,Maize,1819.49,1105.01,34.33,67.02,60.71,158.81,2.06
Vizianagaram,2022,Kharif,Groundnut,8832.49,1249.47,25.61,52.24,34.41,140.77,1.52
Srikakulam,2023,Rabi,Maize,8081.72,1433.71,24.02,72.32,57.81,148.36,2.31
Anantapur,2020,Rabi,Sugarcane,1135.08,362.52,37.63,89.52,71.27,102.33,1.28
Nellore,2024,Kharif,Rice,5441.87,855.18,27.18,66.29,98.73,145.21,2.38
Krishna,2020,Rabi,Tobacco,8814.32,979.83,30.99,88.66,98.79,141.02,4.51
Kurnool,2024,Kharif,Cotton,5220.35,519.3,33.28,53.94,80.62,115.7,2.33
Guntur,2020,Kharif,Tobacco,4898.83,1300.45,29.75,84.15,65.58,171.35,2.88
Visakhapatnam,2023,Rabi,Maize,6286.21,830.78,34.18,73.88,79.93,91.79,3.18
Guntur,2024,Kharif,Pulses,2725.47,1090.37,26.39,63.5,86.5,80.16,2.14
Visakhapatnam,2020,Kharif,Maize,4216.42,1359.22,33.25,66.77,58.01,89.79,1.4
Kadapa,2020,Kharif,Tobacco,9663.71,751.29,36.01,81.14,41.18,189.39,1.18
Guntur,2022,Rabi,Groundnut,7123.45,1200.63,35.45,65.19,78.96,181.33,2.94
